Date,Total Incidents
1/1/2014,216
1/2/2014,119
1/3/2014,124
1/4/2014,140
1/5/2014,130
1/6/2014,100
1/7/2014,115
1/8/2014,149
1/9/2014,134
1/10/2014,129
1/11/2014,143
1/12/2014,147
1/13/2014,162
1/14/2014,158
1/15/2014,181
1/16/2014,158
1/17/2014,152
1/18/2014,147
1/19/2014,139
1/20/2014,172
1/21/2014,125
1/22/2014,134
1/23/2014,117
1/24/2014,115
1/25/2014,162
1/26/2014,152
1/27/2014,151
1/28/2014,124
1/29/2014,120
1/30/2014,132
1/31/2014,148
2/1/2014,149
2/2/2014,138
2/3/2014,143
2/4/2014,113
2/5/2014,104
2/6/2014,141
2/7/2014,98
2/8/2014,99
2/9/2014,111
2/10/2014,115
2/11/2014,82
2/12/2014,117
2/13/2014,103
2/14/2014,101
2/15/2014,85
2/16/2014,112
2/17/2014,90
2/18/2014,101
2/19/2014,118
2/20/2014,99
2/21/2014,110
2/22/2014,105
2/23/2014,126
2/24/2014,123
2/25/2014,104
2/26/2014,80
2/27/2014,101
2/28/2014,77
3/1/2014,128
3/2/2014,87
3/3/2014,85
3/4/2014,92
3/5/2014,110
3/6/2014,96
3/7/2014,118
3/8/2014,122
3/9/2014,117
3/10/2014,112
3/11/2014,123
3/12/2014,102
3/13/2014,97
3/14/2014,119
3/15/2014,127
3/16/2014,132
3/17/2014,132
3/18/2014,114
3/19/2014,122
3/20/2014,131
3/21/2014,134
3/22/2014,114
3/23/2014,144
3/24/2014,114
3/25/2014,151
3/26/2014,108
3/27/2014,135
3/28/2014,116
3/29/2014,120
3/30/2014,127
3/31/2014,140
4/1/2014,115
4/2/2014,118
4/3/2014,136
4/4/2014,137
4/5/2014,132
4/6/2014,151
4/7/2014,115
4/8/2014,132
4/9/2014,136
4/10/2014,113
4/11/2014,127
4/12/2014,141
4/13/2014,135
4/14/2014,137
4/15/2014,113
4/16/2014,122
4/17/2014,138
4/18/2014,145
4/19/2014,111
4/20/2014,137
4/21/2014,135
4/22/2014,115
4/23/2014,130
4/24/2014,123
4/25/2014,155
4/26/2014,152
4/27/2014,131
4/28/2014,110
4/29/2014,124
4/30/2014,125
5/1/2014,110
5/2/2014,132
5/3/2014,138
5/4/2014,134
5/5/2014,112
5/6/2014,131
5/7/2014,120
5/8/2014,129
5/9/2014,125
5/10/2014,136
5/11/2014,131
5/12/2014,130
5/13/2014,130
5/14/2014,136
5/15/2014,145
5/16/2014,135
5/17/2014,168
5/18/2014,140
5/19/2014,154
5/20/2014,154
5/21/2014,134
5/22/2014,130
5/23/2014,134
5/24/2014,149
5/25/2014,147
5/26/2014,171
5/27/2014,167
5/28/2014,129
5/29/2014,156
5/30/2014,154
5/31/2014,159
6/1/2014,147
6/2/2014,145
6/3/2014,151
6/4/2014,186
6/5/2014,151
6/6/2014,142
6/7/2014,138
6/8/2014,149
6/9/2014,142
6/10/2014,120
6/11/2014,154
6/12/2014,141
6/13/2014,118
6/14/2014,142
6/15/2014,147
6/16/2014,151
6/17/2014,133
6/18/2014,135
6/19/2014,142
6/20/2014,150
6/21/2014,159
6/22/2014,162
6/23/2014,154
6/24/2014,147
6/25/2014,145
6/26/2014,154
6/27/2014,165
6/28/2014,162
6/29/2014,157
6/30/2014,151
7/1/2014,132
7/2/2014,134
7/3/2014,137
7/4/2014,192
7/5/2014,212
7/6/2014,165
7/7/2014,173
7/8/2014,173
7/9/2014,152
7/10/2014,152
7/11/2014,141
7/12/2014,168
7/13/2014,200
7/14/2014,177
7/15/2014,177
7/16/2014,146
7/17/2014,159
7/18/2014,166
7/19/2014,170
7/20/2014,199
7/21/2014,151
7/22/2014,182
7/23/2014,172
7/24/2014,175
7/25/2014,168
7/26/2014,171
7/27/2014,155
7/28/2014,165
7/29/2014,193
7/30/2014,189
7/31/2014,173
8/1/2014,200
8/2/2014,189
8/3/2014,175
8/4/2014,163
8/5/2014,153
8/6/2014,169
8/7/2014,142
8/8/2014,172
8/9/2014,154
8/10/2014,186
8/11/2014,175
8/12/2014,164
8/13/2014,175
8/14/2014,156
8/15/2014,176
8/16/2014,167
8/17/2014,199
8/18/2014,182
8/19/2014,177
8/20/2014,178
8/21/2014,171
8/22/2014,170
8/23/2014,188
8/24/2014,189
8/25/2014,160
8/26/2014,141
8/27/2014,150
8/28/2014,142
8/29/2014,170
8/30/2014,145
8/31/2014,181
9/1/2014,185
9/2/2014,162
9/3/2014,155
9/4/2014,155
9/5/2014,185
9/6/2014,220
9/7/2014,149
9/8/2014,166
9/9/2014,148
9/10/2014,185
9/11/2014,203
9/12/2014,167
9/13/2014,180
9/14/2014,183
9/15/2014,161
9/16/2014,161
9/17/2014,155
9/18/2014,154
9/19/2014,163
9/20/2014,179
9/21/2014,183
9/22/2014,140
9/23/2014,126
9/24/2014,173
9/25/2014,163
9/26/2014,175
9/27/2014,174
9/28/2014,189
9/29/2014,152
9/30/2014,161
10/1/2014,167
10/2/2014,171
10/3/2014,167
10/4/2014,140
10/5/2014,170
10/6/2014,133
10/7/2014,152
10/8/2014,168
10/9/2014,144
10/10/2014,144
10/11/2014,169
10/12/2014,140
10/13/2014,175
10/14/2014,178
10/15/2014,144
10/16/2014,163
10/17/2014,175
10/18/2014,163
10/19/2014,159
10/20/2014,176
10/21/2014,157
10/22/2014,174
10/23/2014,145
10/24/2014,152
10/25/2014,210
10/26/2014,169
10/27/2014,163
10/28/2014,130
10/29/2014,151
10/30/2014,133
10/31/2014,133
11/1/2014,144
11/2/2014,119
11/3/2014,120
11/4/2014,132
11/5/2014,141
11/6/2014,119
11/7/2014,139
11/8/2014,175
11/9/2014,167
11/10/2014,138
11/11/2014,152
11/12/2014,138
11/13/2014,113
11/14/2014,108
11/15/2014,152
11/16/2014,142
11/17/2014,118
11/18/2014,117
11/19/2014,111
11/20/2014,107
11/21/2014,104
11/22/2014,130
11/23/2014,145
11/24/2014,102
11/25/2014,113
11/26/2014,102
11/27/2014,96
11/28/2014,100
11/29/2014,126
11/30/2014,125
12/1/2014,111
12/2/2014,101
12/3/2014,110
12/4/2014,108
