Date,Total Incidents
1/1/2015,214
1/2/2015,121
1/3/2015,120
1/4/2015,123
1/5/2015,108
1/6/2015,118
1/7/2015,104
1/8/2015,118
1/9/2015,127
1/10/2015,92
1/11/2015,127
1/12/2015,96
1/13/2015,112
1/14/2015,128
1/15/2015,149
1/16/2015,126
1/17/2015,143
1/18/2015,131
1/19/2015,119
1/20/2015,157
1/21/2015,133
1/22/2015,139
1/23/2015,105
1/24/2015,126
1/25/2015,129
1/26/2015,133
1/27/2015,120
1/28/2015,121
1/29/2015,130
1/30/2015,133
1/31/2015,105
2/1/2015,113
2/2/2015,98
2/3/2015,94
2/4/2015,111
2/5/2015,115
2/6/2015,112
2/7/2015,133
2/8/2015,148
2/9/2015,105
2/10/2015,125
2/11/2015,114
2/12/2015,95
2/13/2015,99
2/14/2015,104
2/15/2015,128
2/16/2015,101
2/17/2015,101
2/18/2015,102
2/19/2015,108
2/20/2015,91
2/21/2015,111
2/22/2015,106
2/23/2015,129
2/24/2015,99
2/25/2015,113
2/26/2015,109
2/27/2015,122
2/28/2015,122
3/1/2015,121
3/2/2015,123
3/3/2015,133
3/4/2015,115
3/5/2015,102
3/6/2015,113
3/7/2015,153
3/8/2015,135
3/9/2015,124
3/10/2015,131
3/11/2015,150
3/12/2015,132
3/13/2015,142
3/14/2015,145
3/15/2015,151
3/16/2015,148
3/17/2015,149
3/18/2015,161
3/19/2015,139
3/20/2015,146
3/21/2015,152
3/22/2015,137
3/23/2015,116
3/24/2015,167
3/25/2015,137
3/26/2015,148
3/27/2015,138
3/28/2015,157
3/29/2015,144
3/30/2015,141
3/31/2015,164
4/1/2015,155
4/2/2015,153
4/3/2015,155
4/4/2015,166
4/5/2015,150
4/6/2015,157
4/7/2015,158
4/8/2015,160
4/9/2015,148
4/10/2015,140
4/11/2015,143
4/12/2015,181
4/13/2015,158
4/14/2015,126
4/15/2015,151
4/16/2015,139
4/17/2015,183
4/18/2015,193
4/19/2015,160
4/20/2015,148
4/22/2015,150
4/23/2015,133
4/24/2015,137
4/25/2015,139
4/26/2015,157
4/27/2015,167
4/28/2015,135
4/29/2015,190
4/30/2015,139
5/1/2015,159
5/2/2015,141
5/3/2015,154
5/4/2015,149
5/5/2015,144
5/6/2015,162
5/7/2015,160
5/8/2015,133
5/9/2015,174
