Date,Total Incidents,,
9/23/2016,149,,47
9/24/2016,158,,46
9/25/2016,193,,60
9/26/2016,156,,29
9/27/2016,137,,32
9/28/2016,158,,45
9/29/2016,160,,40
9/30/2016,141,,44
10/1/2016,192,,53
10/2/2016,163,,41
10/3/2016,134,,33
10/4/2016,143,,35
10/5/2016,154,,39
10/6/2016,142,,28
10/7/2016,129,,39
10/8/2016,173,,39
10/9/2016,178,,54
10/10/2016,170,,49
10/11/2016,152,,43
10/12/2016,163,,43
10/13/2016,176,,34
10/14/2016,158,,44
10/15/2016,208,,64
10/16/2016,217,,58
10/17/2016,149,,32
10/18/2016,182,,49
10/19/2016,196,,37
10/20/2016,161,,20
10/21/2016,158,,31
10/22/2016,176,,50
10/23/2016,178,,52
10/24/2016,171,,46
10/25/2016,191,,49
10/26/2016,167,,42
10/27/2016,152,,53
10/28/2016,144,,48
10/29/2016,188,,50
10/30/2016,192,,59
10/31/2016,194,,42
11/1/2016,200,,45
11/2/2016,167,,47
11/3/2016,159,,37
11/4/2016,159,,42
11/5/2016,185,,59
11/6/2016,205,,64
11/7/2016,149,,52
11/8/2016,135,,42
11/9/2016,131,,17
11/10/2016,148,,41
11/11/2016,158,,50
11/12/2016,179,,43
11/13/2016,186,,44
11/14/2016,166,,50
11/15/2016,168,,38
11/16/2016,171,,38
11/17/2016,178,,45
11/18/2016,176,,57
11/19/2016,179,,51
11/20/2016,154,,46
11/21/2016,139,,36
11/22/2016,171,,45
11/23/2016,167,,45
11/24/2016,149,,31
11/25/2016,157,,52
11/26/2016,201,,49
11/27/2016,217,,53
11/28/2016,175,,55
11/29/2016,167,,44
11/30/2016,196,,50
12/1/2016,181,,31
12/2/2016,177,,54
12/3/2016,173,,42
12/4/2016,168,,50
12/5/2016,167,,38
12/6/2016,147,,35
12/7/2016,146,,30
12/8/2016,161,,42
12/9/2016,183,,52
12/10/2016,154,,38
12/11/2016,177,,50
12/12/2016,177,,41
12/13/2016,162,,37
12/14/2016,166,,37
12/15/2016,149,,29
12/16/2016,131,,32
12/17/2016,195,,70
12/18/2016,127,,32
12/19/2016,149,,37
